Line 1060, col 54: Conflicting types (got double, expected int)
Line 1061, col 54: Conflicting types (got double, expected int)
Line 1062, col 54: Conflicting types (got double, expected int)
Line 1063, col 54: Conflicting types (got double, expected int)
Line 1064, col 54: Conflicting types (got double, expected int)
Line 1065, col 54: Conflicting types (got double, expected int)
Line 1066, col 54: Conflicting types (got double, expected int)
Line 1067, col 54: Conflicting types (got double, expected int)
Line 1068, col 54: Conflicting types (got double, expected int)
Line 1069, col 54: Conflicting types (got double, expected int)
Line 1070, col 54: Conflicting types (got double, expected int)
Line 1071, col 54: Conflicting types (got double, expected int)
Line 1072, col 54: Conflicting types (got double, expected int)
Line 1073, col 54: Conflicting types (got double, expected int)
Line 1074, col 54: Conflicting types (got double, expected int)
Line 1075, col 54: Conflicting types (got double, expected int)
Line 1076, col 54: Conflicting types (got double, expected int)
Line 1077, col 54: Conflicting types (got double, expected int)
Line 1078, col 54: Conflicting types (got double, expected int)
Line 1079, col 54: Conflicting types (got double, expected int)
Line 1080, col 54: Conflicting types (got double, expected int)
Line 1081, col 54: Conflicting types (got double, expected int)
Line 1082, col 54: Conflicting types (got double, expected int)
Line 1083, col 54: Conflicting types (got double, expected int)
Line 1084, col 54: Conflicting types (got double, expected int)
Line 1085, col 54: Conflicting types (got double, expected int)
Line 1086, col 54: Conflicting types (got double, expected int)
Line 1087, col 54: Conflicting types (got double, expected int)
Line 1088, col 55: Conflicting types (got double, expected int)
Line 1089, col 55: Conflicting types (got double, expected int)
Line 1090, col 55: Conflicting types (got double, expected int)
Line 1091, col 55: Conflicting types (got double, expected int)
Line 1092, col 55: Conflicting types (got double, expected int)
Line 1093, col 55: Conflicting types (got double, expected int)
Line 1094, col 55: Conflicting types (got double, expected int)
Line 1095, col 55: Conflicting types (got double, expected int)
Line 1096, col 55: Conflicting types (got double, expected int)
Line 1097, col 55: Conflicting types (got double, expected int)
Line 1098, col 55: Conflicting types (got double, expected int)
Line 1099, col 55: Conflicting types (got double, expected int)
Line 1100, col 55: Conflicting types (got double, expected int)
